,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
31,5 likes,2 images,Decathlon Btwin 720 AF R7000 105 Groupset,750,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","price negotiable.  specs similar to Van Rysel RCR 900 AF 105. As is.eason for sale, too many bikes. Size L. Dropbar change to Carbon . Owner not in so either deal after 5th August or after 8pm.

specs please check link below:

",N,NA,NA,Y,113 Jalan Bukit Merah,1.27859778,103.8293274,vellumdiecast,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,4.9,235,https://www.carousell.sg/p/decathlon-btwin-720-af-r7000-105-groupset-1242082690/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=v5SEjoaN_oIrtwgW&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1153
32,22 likes,10 images,SOLD Trek FX stagger grey ladies women small size 15” hybrid bicycle,399,Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Ride great.

Hardly used, can see from original tyres

Size 15” which is around XS-S. 
suitable for teens also since seat can be lowered. 

Comes Minora made in japan bottle holder, Cateye bell

Try and ride home 


Have other trek bicycles for sale.
Teens no longer want to ride. ",N,NA,NA,Y,Pasir Panjang Road,1.275946,103.793013,bbt_bbt,Joined 8 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,324,https://www.carousell.sg/p/sold-trek-fx-stagger-grey-ladies-women-small-size-15”-hybrid-bicycle-1240168278/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=6tLs0oWl9wP6QH7C&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1879
33,11 likes,4 images,"Decathlon 20"" cycle",50,Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,Decathlon Cycle for Child - decent condition.,N,NA,NA,Y,Marine Parade Rd N Siglap Rd,1.294435,103.865955,aseem2506,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,3,https://www.carousell.sg/p/decathlon-20-cycle-1242378256/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=8PEFzVC8osLOTyOH&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1045
34,10 likes,1 image,Road Bike,490,Well used,Meetup,Yesterday,Road Bikes,Posted,Has minor flaws or defects.,"Polygon Helios 4A.1
Size 51 
Group set Tiagra and Shimano
8kg very",N,NA,NA,Y,amk mrt,1.35647831,103.85767399,buymorestuffss,Joined 9 years ago,Mostly Responsive,Verified,NA,NA,NA,4.8,123,https://www.carousell.sg/p/road-bike-1244314526/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=AKenagH3WyunJ-Yr&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=143
35,10 likes,1 image,Ridley Noah SL,"3,000 3,200",Lightly used,Meetup,4 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Ridley Noah SL, bought end of 2021.
Size XXS top tube 51.5,ideal for 160-172 height 
Campagnolo Potenza 11 speed group set.
Standard 53/39 crank 
11/32 cassette
Lightbicycle wheelset with DT Swiss 240 hub
Carbon cockpit,3T Arc Ltd 100 mm carbon stem and 40mm Deda superzero carbon dropbar.",N,NA,NA,Y,327b Anchorvale RdDrop point327b Anchorvale Rd,1.39540161,103.88842203,nalsorcolgate,Joined 8 years ago,Mostly Responsive,Verified,NA,NA,NA,4.9,34,https://www.carousell.sg/p/ridley-noah-sl-1239138371/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=kvvAdmVCNyg10WcJ&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2182
36,10 likes,8 images,(Shimano Tiagra) Java sirulo 3 WTT/WTS,650 700,Like new,Meetup,1 week ago,Road Bikes,Bumped,Used once or twice. As good as new.,"selling to upgrade 

Kept indoor 
Size 53 so suitable for riders 175-188.

Full specs:
Carbon forks, tapered steerer
flat mount disc brakes.
Front & Rear hub: DECA alloy 4 sealed
bearings, quick release
Rims: Decaf 40mm height alloy
Tires: CST 700*25c
Shifters: Shimano Tiagra ST-R4000 2*10
Front derailleur: Shimano Tiagra FD-R4000
Rear derailleur: Shimano Tiagra RD-R4000
Crank: Forged 50/34, compact
Bottom bracket: BB68
Cassette: 11-28T, 10 speed
Pedals: Deca Alloy road pedal
Weight: Size 53 -10.5kg",N,NA,NA,Y,Bus Stop 50201 (Shaw Plaza)Can meet at anytime before 5pm,1.32484004,103.85080624,canyxnlver3,Joined 2 months ago,Very Responsive,Verified,NA,NA,NA,5.0,2,https://www.carousell.sg/p/shimano-tiagra-java-sirulo-3-wtt-wts-1240096957/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FJT3StX2wQq4rthn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1268
37,102 likes,9 images,Specialized dolce compact bike / bicycle,300,Like new,Mailing · Meetup,6 days ago,Road Bikes,Bumped,Used once or twice. As good as new.,"Good condition Woman specialized bike.
Was kept in storage for a while.
51cm frame size.
Shimano Claris 2x8 speed groupset.
Aluminium frame with carbon fork.
View  at PasirRis-510715.
Clearing space.
Price reduced & FIRM.

Thank You.",Y,Express delivery Free,1 - 2 working days,Y,Blk 715 Pasir Ris St 72,1.38289584,103.93744317,dylanchua74,Joined 8 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,478,https://www.carousell.sg/p/specialized-dolce-compact-bike-bicycle-1161833129/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=omN_uxru5foZSL37&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=618
38,4 likes,1 image,Raleigh,170,Like new,Meetup,2 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Bought for daughter,cycle once only.No repair needed,Tyres new",N,NA,NA,Y,477A Upper Serangoon View,1.37857275,103.90439366,henryhuat,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,5.0,246,https://www.carousell.sg/p/raleigh-1240699670/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=-SG-OUHu5bFS2HW0&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1686
39,46 likes,6 images,Pinarello Prince FX size 43 black rim brakes size 43 Ultegra Di2,"5,000",Lightly used,Meetup,2 months ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Pinarello Prince FX Size 43 (Black) for sale (Sep 2020 purchase from Cycleworx)

Rim brakes 
Ultegra Di2 - 11 speed 
50/34;  11/34
Crank 170
Fulcrum 3 wheelset (original with the bike - not as shown in picture)
Handlebar with ciclovision bar tape 
Carbon bottle cages 

Infrequent use by wife 
Genuine buyers only pls 

Meet up at Ghim Moh",N,NA,NA,Y,Ghim Moh Market & Food Centre,1.31097162,103.78795337,sc1234,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,6,https://www.carousell.sg/p/pinarello-prince-fx-size-43-black-rim-brakes-size-43-ultegra-di2-1229788977/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=LcSLfmyp-7__plsS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1418
40,73 likes,9 images,Cinelli Zydeco Lala 'Orange Juice' Gravel Touring Bike. Size 54 (M) With Shimano R7000/105 & SQLab. (Updated April 2023). ,"3,500",Like new,Meetup,4 weeks ago,Road Bikes,Bumped,Used once or twice. As good as new.,"The Cinelli Zydeco LaLa is the new member of the Zydeco gravel family. The frame is made of triple-thickness Columbus Zonal aluminum tubes.

No longer in production - This is a collector's piece!

Condition: Like New (All parts and components) 

Size: 54cm (M) (1.76cm-1.84cm)

Weight: 10 kgs

Groupset: Shimano 105 R7000 (2 X 11 Speed)

Warranty: Covered by Cinelli's Manufacturer warranty. 

Front and Rear fender compatible, rear rack eyelets / Extra hanger

See specs in attached photo.

No trades. Not in the hurry to sell, so sorry - lowballers will be politely ignored.

Self collect at Pasir Ris, non-obligatory ride for satisfaction allowed, as long as it does not clash with my schedule. 

PM me for queries.

*Not a bike shop

Thanks for reading.
",N,NA,NA,Y,Pasir Ris MRT Station (EW1),1.37287429,103.94928729,coolnite,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,55,https://www.carousell.sg/p/cinelli-zydeco-lala-orange-juice-gravel-touring-bike-size-54-m-with-shimano-r7000-105-sqlab-updated-april-2023-1143234410/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=XOcjX40NGTj-vB1y&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2239
41,5 likes,3 images,KHS Flite 300,550,Well used,Meetup,1 week ago,Road Bikes,Bumped,Has minor flaws or defects.,"Road Bike ~ kHS FLITE 300

Shifter ~ Shimano 105

Frame Size ~ M

8 speed",N,NA,NA,Y,Barber,1.437694,103.836945,mdnan,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,28,https://www.carousell.sg/p/khs-flite-300-1240705163/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=8PEFzVC8osLOTyOH&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1041
42,Like,1 image,"Lightweight 16 inch 6 Speed Gear Foldable bike Foldies Children Kid Adult Bicycle Black 16""  27.5 16 26 front inch child seat 20 children rack thermal baby kid mesh WHATSAPP 89501850",219.77,Brand new,Mailing,2 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 






➡️ 10KG
➡️ 6 Speed Gear
➡️ 16"""" Wheel 
➡️ Ultralight Body Frame 
➡️  Gift 🎁 


You can also visit 
➡️ www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
dashlab.sg/collections/accessories-child-seat",Y,Standard delivery Free,3 - 4 working days,N,NA,,,bettercycle,Joined 2 years ago,Not Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/lightweight-16-inch-6-speed-gear-foldable-bike-foldies-children-kid-adult-bicycle-black-16-27-5-16-26-front-inch-child-seat-20-children-rack-thermal-baby-kid-mesh-whatsapp-89501850-1241459539/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gMRLCAAd4x5OVnEu&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1531
43,Like,1 image,SUNPEED Road Bike,230,Lightly used,Meetup,2 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.",NA,N,NA,NA,Y,Punggol Point LRT Station (PW3),1.41671248,103.90559978,sgfits4u,Joined 11 months ago,Very Responsive,Verified,NA,NA,NA,3.7,3,https://www.carousell.sg/p/sunpeed-road-bike-1244107281/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=pFcsFvDdlwJuiL3z&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=240
44,23 likes,1 image,Pinarello Dogma F (Frameset - 53),"7,500",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Frame size 53
Condition 8/10
Talon Handlebar 110/42
Original BB included

Bike purchased at Cycleworx, come with 5 years warranty. ",N,NA,NA,Y,Ford & Peugeot Showroom,1.2898206,103.8070491,mhboss,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,21,https://www.carousell.sg/p/pinarello-dogma-f-frameset-53-1242970029/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=aN77-fzQlDvWiF2W&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=820
45,8 likes,2 images,Polygon Strattos S8D s8,"2,300",Lightly used,Mailing · Meetup,4 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","L Size bike
- Front & Rear 50mm Carbon Elite Wheels set with ceramic bearing.
- With Flat Pedals

",Y,Custom courier Free,2 working day(s),Y,SPC Pasir Ris Drive 4,1.37088133,103.96044731,potatotototototototo,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,7,https://www.carousell.sg/p/polygon-strattos-s8d-s8-1238826029/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=rntPEaifUwt4DZ9B&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2269
46,2 likes,9 images,Wilier Filante SLR Disc Brake Mark Cavendish Edition Frameset ONLY (Size XS / S / M / L) For Bicycle & Cycling,"7,695",Brand new,Mailing · Meetup,5 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Colour: Mark Cavendish Edition
Size: XS / S / M / L

This is frameset ONLY.
Frame includes : Headset , Seat-post Clamp , Fork , Cable covers and any frame hardwares , Front and Rear Thru Axle

FILANTE SLR
The new master in the art of aero

The natural evolution of Cento10PRO, our high-end aerodynamic bike used by professionals.

Filante SLR is an extremely lightweight aerodynamic bicycle with a significantly improved stiffness to weight ratio. We used the same materials and technology as in the construction of the Wilier 0 SLR.

The result is a top of the range, aerodynamic frame that complements our pure ascent bike used by Astana Premier Tech and Total Direct Energy.

--------------------------------

Online Bicycle is the leading online platform for quality cycling brands at affordable prices.


Retail Store:
140 Sims Avenue, Singapore 387462
12 pm – 7.30 pm, Monday – Saturday
Located inside Bikemart SG
+65 8806 1843
",Y,Standard delivery S$5,3 - 4 working days,Y,Bikemart SG Pte. Ltd.,1.314273,103.878864,online.bicycle,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,5.0,5k,https://www.carousell.sg/p/wilier-filante-slr-disc-brake-mark-cavendish-edition-frameset-only-size-xs-s-m-l-for-bicycle-cycling-1243591027/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=r2e0CzDL4Eoew7Kc&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=490
47,50 likes,3 images,Aleoca 26inch Signora citi bike,76 77,Well used,Meetup,2 weeks ago,Road Bikes,Bumped,Has minor flaws or defects.,"Aleoca 26inch Signora citi bicycle.
Comes with a child seat for 2 to 6 years.
New brakes and Front tire and tube.
Inbuilt lock.
Good condition.
Selling as i am relocating to another place.",N,NA,NA,Y,Tampines MRT Station (EW2/DT32)Tampines East MRT Station (DT33),1.35350085,103.94510601,sushi.sg,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,4.9,22,https://www.carousell.sg/p/aleoca-26inch-signora-citi-bike-1230596263/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=xtwi_9JPhWIBh-TS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1370
48,5 likes,10 images,Polygon Helios C7.0,"1,300",Well used,Meetup,3 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"Polygon Helios C7.0 (2015 Series)
Full Carbon bike with Full Ultegra 6700 10-speed groupset. 
Lightweight and nimble road bicycle. 

Bought from another seller in Carousell around June 2022.
Normal wear and tear, paint chipped, no crack, no accident, still using the bike on the weekend.
Not for fussy buyer and low baller.

Bicycle specs:
* Frame: ACX Advance Endurance Carbon Frame, size 50cm
* Front Fork: ACX Advance Endurance Carbon Tapered Fork 1-1/8-1-1/4” Full Carbon Steerer, uncut.
* Shift Lever: Shimano Ultegra ST-6700.
* Derailleur Front: Shimano Ultegra FD-6700.
* Derailleur Rear: Shimano Ultegra RD-6700.
* Rim Brakes: Shimano Ultegra BR-6700. 
* Brake Levers: integrated with shifter.
* Crankset: Shimano Ultegra FC-6700 170mm 53x39T.
* Bottom Bracket: Shimano press-fit BB.
* Cassette: Shimano Ultegra CS-6700, 11-25T.
* Wheelset: Mavic Cosmic 30mm, alloy.
* Tires: 700x25C Vittoria Zaffiro Pro Graphene 2.0.
* Saddle: PU + Carbon Fiber saddle, 143mm.
* Seatpost: Entity Elite, Carbon, 27.2x300mm.
* Stem: Entity Elite, Carbon, 90mm.
* Handlebar: Entity Elite, Carbon, 380mm.
* Headset: FSA Orbit C-33 No.44/CF Carbon Spacer.

Notes:
- Last Full Service on April 2023 (by: Delta.Cycles).
- Bartape replacement on April 2023.
- Both brake pad replacement on May 2023.
- Frame is DI2 ready, taped the hole for FD.
- Rear calliper discolouration due to degreaser.
- User height 172cm.
- Total weight of 8kg with Tiagra pedal and bottle cage.

Will include, if interested:
- No brand no matching bottle cage.
- XOSS bike comp.

No refund once sold.
PM to discuss further.
Thanks for viewing.

Reference Links:
",N,NA,NA,Y,Ranggung LRT Station‎ (SE5),1.38387977,103.89748032,harray,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,18,https://www.carousell.sg/p/polygon-helios-c7-0-1240404512/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=BOW7RK1_OHkCvLyI&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1798
